feature	Corynebacterium	Psychrobacter	Staphylococcus	Moraxella	Weissella	Dolosigranulum	Acetobacter	Streptococcus	Faucicola	Mannheimia	Aerococcus	Peptoniphilus	Romboutsia	Pseudomonas	Lentilactobacillus	Carnobacterium	Lactobacillus	Finegoldia	Turicibacter	UCG.005	Jeotgalicoccus	Acinetobacter	Anaerococcus	Paeniclostridium	Kocuria	Sphingobacterium	Facklamia	Rothia	Latilactobacillus	Clostridium.sensu.stricto.1	Lactiplantibacillus	Pediococcus	Sphingomonas	Lactococcus	Glutamicibacter	Clostridioides	Haemophilus	Salinicoccus	Bifidobacterium	Knoellia	Lachnospiraceae.NK3A20.group	HT002	Bacteroides	Brevibacterium	Brachybacterium	Fusobacterium	Planococcus	Mycoplasma	Thermoactinomyces	Jeotgalibaca	Lawsonella	Levilactobacillus	Atopostipes	Porphyromonas	Filobacterium	Enterococcus	Oceanobacillus	Curtobacterium	Enhydrobacter	Ornithinimicrobium	Aerosphaera	Dietzia	Leuconostoc	Saccharopolyspora	Ignavigranum	Companilactobacillus	Loigolactobacillus	Neorhizobium	Caryophanon	Ruminobacter	Actinomyces	Bacillus	Macrococcus	Pseudarthrobacter	Gemella	Chryseobacterium	Treponema	Alistipes	Massilia	Blautia	Mogibacterium	Campylobacter	Kurthia	UCG.001	Flavobacterium	Christensenellaceae.R.7.group	Frondihabitans	Comamonas	Pseudoclavibacter	Paracoccus	Prevotellaceae.UCG.004	Phascolarctobacterium	Ligilactobacillus	Actinobacillus	Methylobacterium.Methylorubrum	Acetitomaculum	Pedobacter	NK4A214.group	Lysinibacillus	Lachnospiraceae.AC2044.group	Paeniglutamicibacter	Ornithinicoccus	Stenotrophomonas	Alloprevotella	X.Ruminococcus..torques.group	Cellulosilyticum	Rhodococcus	Methanobrevibacter	Prevotella	Nesterenkonia	Dorea	Rikenellaceae.RC9.gut.group	Colidextribacter	Succinivibrio	Mailhella	Nocardiopsis	Prevotellaceae.UCG.003	Agathobacter	Prevotella_7	Citricoccus	Paenibacillus	Aliicoccus	Arcobacter	Bergeyella	Monoglobus	Lachnospiraceae.UCG.010	Lachnospiraceae.UCG.004	Roseburia	Thermomonas	Veillonella	Lachnospiraceae.UCG.001	Flaviflexus	Cutibacterium	Aureimonas	Parasutterella	Coprococcus	X.Ruminococcus..gauvreauii.group	Leucobacter	Sanguibacter.Flavimobilis	Prevotellaceae.UCG.001	Methanosphaera	Marvinbryantia	Brevundimonas	Family.XIII.AD3011.group	Nocardioides	X.Eubacterium..brachy.group	Frisingicoccus	Akkermansia	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Erysipelothrix	W5053	Anaerosporobacter	Hymenobacter	UCG.009	Halomonas	Cellvibrio	X.Eubacterium..nodatum.group	Marinospirillum	Ruminococcus	Luteimonas	dgA.11.gut.group	Devosia	Acholeplasma	X.Eubacterium..hallii.group
C0101-P001NS01	0.00177304964539007	0.579384268214055	0.00451321727917473	0.0816408768536428	0.00128949065119278	0	0.00636686009026435	0.00217601547388781	0	0.181737588652482	0	0	0.00274016763378465	0	0.00120889748549323	0	0.00169245647969052	0	0.00185364281108962	0.00773694390715667	0	0	0	0.00128949065119278	0.000967117988394584	0	0.00112830431979368	0.000564152159896841	0	0	0.00322372662798195	0	0	0	0	0	0	0	0.000725338491295938	0	0	0	0.00185364281108962	0	0	0	0	0	0	0	0	0	0.00185364281108962	0	0.00185364281108962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112830431979368	0	0	0	0	0	0.000564152159896841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000805931656995487	0	0	0	0	0	0	0	0.00120889748549323	0	0	0	0	0.000886524822695035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000564152159896841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0102-P001NS01	0.0424248417721519	0.0010878164556962	0.0646756329113924	0	0.00870253164556962	0	0	0.00425237341772152	0	0	0.0282832278481013	0	0.0761471518987342	0	0	0	0	0	0.0420292721518987	0.213706487341772	0.0147349683544304	0.00682357594936709	0	0.0174050632911392	0.0175039556962025	0	0.00405458860759494	0.00375791139240506	0	0.0191851265822785	0	0	0.00187895569620253	0	0.000988924050632911	0.0195806962025316	0	0	0.0273931962025316	0.00583465189873418	0.0116693037974684	0	0.0510284810126582	0	0	0	0.00712025316455696	0	0	0.00168117088607595	0	0	0.0089003164556962	0	0	0	0	0	0	0	0	0	0	0	0.0010878164556962	0	0	0	0	0.00712025316455696	0	0	0	0	0	0	0.00979034810126582	0.0109770569620253	0.00148338607594937	0.00168117088607595	0.000692246835443038	0	0	0.00632911392405063	0.000791139240506329	0.0146360759493671	0	0	0	0.00692246835443038	0.00286787974683544	0.00276898734177215	0	0	0	0.0170094936708861	0	0.00494462025316456	0	0.00464794303797468	0	0	0	0.00623022151898734	0.0100870253164557	0.00138449367088608	0	0.0105814873417722	0.00464794303797468	0	0.00375791139240506	0.0245253164556962	0.00395569620253165	0.00880142405063291	0.00158227848101266	0	0.0138449367088608	0.0122626582278481	0	0	0	0	0	0	0.00504351265822785	0.00306566455696203	0.00356012658227848	0.00178006329113924	0.00178006329113924	0	0.00613132911392405	0	0	0	0.00247231012658228	0.00692246835443038	0.00435126582278481	0	0.00148338607594937	0.00247231012658228	0.00118670886075949	0.00593354430379747	0	0.00326344936708861	0	0.00286787974683544	0	0.00158227848101266	0	0	0	0.00346123417721519	0	0.0022745253164557	0	0.00089003164556962	0.00207674050632911	0.0021756329113924	0.00771360759493671	0	0	0	0	0
C0102-S001NS01	0.0366690897342703	0	0.0275422017607625	0	0.233341410225345	0	0.00686535821016073	0.000726920281075842	0	0	0.0226960665535902	0.011711493417333	0.000646151360956304	0.00250383652370568	0.196833858331314	0	0.0346498667312818	0	0.00290768112430337	0.0352152491721186	0.00654228252968258	0.0291575801631532	0	0	0	0.0142960988611582	0	0	0	0	0.0415152249414425	0.0949842500605767	0	0	0	0	0	0.00888458121314918	0.000646151360956304	0	0.00113076488167353	0	0.0140537921007996	0	0	0.00104999596155399	0	0	0	0.0040384460059769	0	0.00258460544382522	0.00080768920119538	0.00492690412729182	0.00080768920119538	0.00557305548824812	0	0.00161537840239076	0	0.00226152976334706	0	0.00734997173087796	0.00226152976334706	0	0	0	0.00387690816573782	0.00710766497051934	0	0	0	0.00363460140537921	0	0	0	0	0.00242306760358614	0.00104999596155399	0	0	0	0	0	0	0	0.000726920281075842	0.00209999192310799	0	0	0	0	0.00613843792908489	0	0	0.0105807285356595	0	0	0.000565382440836766	0	0	0	0	0	0	0	0	0	0.00920765689362733	0	0	0	0.00662305144980212	0	0.00113076488167353	0	0	0.00153460948227122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000726920281075842	0	0.00201922300298845	0.0023422986834666	0	0	0	0	0	0	0.00129230272191261	0	0	0	0	0	0	0	0	0	0.00331152572490106	0	0.0104191906954204	0	0	0	0.00080768920119538	0	0.0128422582990065	0	0
C0102-W001NS01	0.00198560436832961	0.00657731447009183	0.00204765450483991	0	0.0278605112931248	0	0	0.0204144949118888	0.787850583271283	0	0	0	0.00316455696202532	0.00179945395879871	0.0446760982874162	0	0	0	0.00111690245718541	0.00210970464135021	0	0.00198560436832961	0	0.000682551501613304	0	0	0	0	0.0103623727972202	0	0.0112310747083644	0.0149540828989824	0.00241995532390171	0.000682551501613304	0.000992802184164805	0	0	0	0	0	0	0	0.000930752047654505	0.000558451228592703	0	0	0	0	0	0	0	0.0115413253909159	0	0	0.00179945395879871	0.00155125341275751	0	0.00117895259369571	0	0	0	0	0.0109828741623232	0	0	0	0.00130305286671631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434350955572102	0	0.00403325887316952	0	0	0	0	0	0	0	0.000620501365103003	0	0	0	0	0	0	0.00217175477786051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000682551501613304	0	0	0	0	0.000620501365103003	0	0	0	0	0	0	0	0	0.000992802184164805	0	0	0	0	0	0.00483991064780342	0	0	0	0	0	0	0	0	0	0	0	0	0.000558451228592703	0	0
C0103-P001NS01	0.0769308226764676	0.00402779176316584	0.0862954385258282	0	0.60849864062028	0	0.00292014902829524	0.000704863558554023	0.0129896284362098	0.000604168764474877	0.00493404490987816	0	0.00100694794079146	0	0.0255764776961031	0	0	0	0.0026180646460578	0	0.0109757325546269	0.0124861544658141	0	0	0.0182257577283254	0	0.0101701742019938	0.00231598026382036	0	0	0.00402779176316584	0	0.00312153861645353	0	0	0	0	0.00352431779277011	0	0	0.000503473970395731	0	0.00191320108750378	0	0.00342362299869097	0.000805558352633169	0	0	0	0	0	0	0.00140972711710805	0.000503473970395731	0	0.00432987614540328	0.00120833752894975	0	0	0	0.00463196052764072	0.00161111670526634	0.00876044708488571	0	0.000805558352633169	0	0	0.00140972711710805	0	0	0	0.0250730037257074	0	0	0	0.00100694794079146	0	0	0	0	0	0	0.0065451616151445	0	0	0	0	0	0	0	0	0	0	0	0.00120833752894975	0	0	0	0.00865975229080657	0	0	0	0.000906253146712315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026180646460578	0.00201389588158292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000604168764474877	0	0	0	0	0	0	0	0.000704863558554023	0	0	0	0.000704863558554023	0	0	0	0	0	0	0	0	0
C0103-S001NS01	0.0594234013188161	0.00651740530593467	0.0506057353166692	0	0.0450084342892194	0	0.00352706640085876	0.000843428921944487	0.0149516945253795	0	0.00506057353166692	0	0.0029136635485355	0.000843428921944487	0.0190154884220212	0	0	0	0.00184020855696979	0.000536727495782855	0.00759086029750038	0.485815059040025	0.00130348106118693	0.000996779635025303	0.0077442110105812	0.00475387210550529	0.00536727495782855	0.00184020855696979	0	0.00130348106118693	0.00598067781015182	0.00751418494095998	0.00107345499156571	0.000996779635025303	0	0	0	0.00314368961815672	0	0.00521392424474774	0	0	0.00789756172366201	0.00122680570464653	0	0.0161785002300261	0	0	0.000920104278484895	0	0	0	0.00253028676583346	0.0158717988038644	0	0.00337371568777795	0.00145683177426775	0	0.000613402852323263	0	0.00145683177426775	0.00184020855696979	0	0	0.000613402852323263	0.00245361140929305	0.000920104278484895	0.00138015641772734	0	0	0	0.00475387210550529	0.00590400245361141	0	0	0.105121913816899	0	0	0	0	0	0	0.00299033890507591	0	0	0	0	0	0.000920104278484895	0.0101211470633338	0	0	0.0019168839135102	0	0.00352706640085876	0	0	0	0	0	0	0	0.000690078208863671	0.00107345499156571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138015641772734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000920104278484895	0	0	0	0	0.00644072994939426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00199355927005061	0	0
C0103-V102NS01	0.171411995715816	0.109291324526955	0.0565869332381292	0.000669403784362728	0.00249910746162085	0.00981792217065334	0	0.00214209210996073	0.0023652267047483	0	0.0105765797929311	0.00343627275972867	0.0070510531952874	0.00553373795073188	0.00120492681185291	0	0	0.001472688325598	0.00227597286683327	0.00397179578721885	0.0638611210282042	0.0124955373081042	0.000847911460192788	0.000624776865405212	0.00477508032845412	0.00267761513745091	0.0153070332024277	0.000937165298107819	0.00191895751517315	0.00361478043555873	0	0	0.0106212067118886	0.00330239200285612	0.00307925740806855	0	0	0.002945376651196	0.00432881113887897	0	0	0	0.0497143877186719	0.000758657622277758	0.00254373438057837	0.0976883255980007	0.00102641913602285	0	0	0.00392716886826134	0.00914851838629061	0	0.00486433416636915	0.0776062120671189	0	0.00169582292038558	0	0.0023652267047483	0	0	0.00276686897536594	0.00107104605498036	0.000981792217065334	0	0.000803284541235273	0	0	0.00504284184219921	0	0	0	0.0041056765440914	0	0.000624776865405212	0	0.00888075687254552	0	0	0	0.027891824348447	0.00116029989289539	0.000535523027490182	0	0	0.00276686897536594	0.000892538379150304	0.000892538379150304	0.000535523027490182	0.000714030703320243	0	0.000535523027490182	0	0	0	0.00437343805783649	0	0.00972866833273831	0	0	0	0.000803284541235273	0	0	0	0.00285612281328097	0	0	0	0	0	0	0.000847911460192788	0	0	0	0	0.00174044983934309	0	0	0	0	0.00142806140664049	0	0	0	0	0	0	0.00209746519100321	0	0	0	0	0.00116029989289539	0	0.00223134594787576	0.00531060335594431	0.00156194216351303	0.00200821135308818	0	0	0	0.000758657622277758	0	0	0	0	0	0.00281149589432346	0	0.000937165298107819	0	0	0	0	0.00107104605498036	0	0.000669403784362728	0	0	0	0.00187433059621564	0	0.000981792217065334
C0103-V401NS01	0.194137333413016	0.249656367656726	0.0718938624275384	0.0332576346142353	0.0037650152393474	0	0	0.00412358811928524	0.00119524293312616	0.000687264686547541	0.0303890515747326	0	0.00403394489930078	0.0179585250702205	0	0	0	0	0.00125500507978247	0.00788860335863264	0.0287754736150123	0.0783780553397478	0	0.00215143727962708	0.0102492081515568	0.00391442060598817	0.0416243351461184	0.00152393473973585	0.00155381581306401	0.00821729516524233	0.00107571863981354	0	0.00388453953266001	0.00779896013864818	0.0198111516165661	0.00104583756648539	0	0.00382477738600371	0.00083667005318831	0.000537859319906771	0.00161357795972031	0	0.00370525309269109	0.00672324149883464	0.00902408414510249	0.00083667005318831	0.00179286439968924	0	0	0.00451204207255125	0	0	0.00782884121197633	0.000507978246578617	0	0.00325703699276878	0	0.00194226976633001	0	0	0.00648419291220941	0.00349608557939401	0.00146417259307954	0	0.000597621466563079	0	0.00137452937309508	0.00194226976633001	0	0.000776907906532003	0	0.000926313273172772	0	0	0	0.00113548078646985	0.000567740393234925	0	0	0	0	0	0	0	0.00929301380505588	0.00101595649315723	0	0.00504990139245802	0.000657383613219387	0.000537859319906771	0.000537859319906771	0	0	0.000627502539891233	0.00179286439968924	0	0.000567740393234925	0	0.000507978246578617	0	0	0	0	0	0.000537859319906771	0.000687264686547541	0	0.000896432199844618	0	0.000657383613219387	0	0.00170322117970477	0	0	0	0	0.000747026833203849	0	0	0	0	0.00567740393234925	0.0158070877905934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307775055279986	0.000866551126516464	0	0	0	0.000567740393234925	0	0	0	0	0	0	0	0.00083667005318831	0	0	0	0.00104583756648539	0	0	0.000657383613219387	0	0	0	0	0	0
C0103-W001NS01	0.10875948806028	0.0751288160008865	0.0516372098177184	0.000720261510332982	0.0130755166491218	0	0	0.0157903484957615	0.0245442960828855	0.0129647071859937	0.0225497257465788	0	0.0167322289323508	0.00232699872569117	0.0233807967200399	0.00182835614161449	0.011745803091584	0	0.00919718543963654	0.0162335863482741	0.052080447670231	0.0629951797883539	0.00116349936284559	0.00814449553991911	0.0159011579588897	0	0.0310820544074464	0.0141836112804033	0.00210537979943487	0.016898443127043	0.00337968862540861	0.00398914067261344	0.00110809463128151	0.010970136849687	0.00310266496758823	0.00531885423015126	0	0.00964042329214915	0.00797828134522688	0.00144052302066596	0.00415535486730567	0	0.0220510831625021	0.00221618926256302	0.00365671228322899	0.0115241841653277	0.00171754667848634	0.00398914067261344	0	0.00459859271981827	0	0.00304726023602416	0.0116903983600199	0.02786857997673	0.000664856778768907	0.00908637597650839	0.00099728516815336	0.000664856778768907	0	0	0.00537425896171533	0.000664856778768907	0.00614992520361239	0	0.00254861765194748	0.00299185550446008	0.00914178070807247	0.00182835614161449	0	0.00349049808853676	0	0.00138511828910189	0	0	0	0.00332428389384453	0	0.00232699872569117	0.000775666241897058	0.000775666241897058	0.00127430882597374	0	0	0	0.00365671228322899	0.0068147819823813	0	0	0	0	0	0.000886475705025209	0.00288104604133193	0.00160673721535819	0	0	0	0	0	0	0	0	0	0.000609452047204831	0	0.00110809463128151	0	0.00193916560474264	0.00692559144550945	0	0.000609452047204831	0.00631613939830462	0	0.00121890409440966	0	0.000609452047204831	0.00105268989971744	0	0	0	0.000609452047204831	0.00310266496758823	0.00232699872569117	0.000554047315640756	0.00116349936284559	0.000664856778768907	0.000720261510332982	0	0	0	0	0.000720261510332982	0	0	0	0.000831070973461134	0	0.00321347443071638	0.00105268989971744	0	0.000609452047204831	0	0	0	0	0	0	0	0	0	0.000609452047204831	0.00110809463128151	0	0	0.0024932129203834	0	0	0	0.00099728516815336	0	0	0.000609452047204831	0	0
C0104-V102NS01	0.0667055969814033	0.709460066480999	0.0254244901626089	0	0.00413260264127212	0.00489623573802893	0	0.0638307429700836	0	0	0.00134758781780613	0.0010780702542449	0.00444703979876022	0	0	0	0	0	0.000763633096756805	0.0010780702542449	0.00103315066031803	0.00229089929027042	0	0	0.0021561405084898	0	0.000943311472464289	0.000943311472464289	0.00615398436798131	0	0	0	0.000943311472464289	0	0.0024705776659779	0	0	0	0.0024705776659779	0	0	0	0	0.0010780702542449	0	0	0	0	0.0010780702542449	0.00238073847812416	0.00476147695624832	0	0	0	0	0	0	0	0	0	0	0.000628874314976193	0	0.00112298984817177	0	0	0	0.000718713502829934	0	0	0	0	0	0	0	0.00260533644775851	0	0	0	0.0142395112748181	0	0	0.000718713502829934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001392507411733	0	0	0	0	0	0	0.000763633096756805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000628874314976193	0.00161710538136735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0104-V401NS01	0.017112794126149	0.264959241486963	0.0142799329363473	0.00144533734173556	0.0356709255940336	0	0	0.0668902121755218	0.0220847545817194	0	0.00161877782274383	0	0.00156096432907441	0.000809388911371914	0.00312192865814881	0	0.00161877782274383	0	0	0.000520321443024802	0.00167659131641325	0.0574087992137365	0	0	0.0153205758223969	0.0056657223796034	0.00167659131641325	0.00705324622766954	0	0.000925015898710759	0.00341099612649592	0.0170549806324796	0.00190784529109094	0.0187893854425623	0	0	0	0	0.000520321443024802	0	0	0.00312192865814881	0	0	0.00260160721512401	0	0	0.00317974215181823	0	0.000925015898710759	0	0.00248598022778516	0	0	0	0.00213909926576863	0	0	0	0	0	0.00242816673411574	0	0	0	0.00138752384806614	0.00127189686072729	0.00185003179742152	0	0	0	0.00248598022778516	0	0.00294848817714054	0	0.168699774527375	0	0	0	0	0	0	0	0	0.0444007631381164	0	0	0.0822686014915881	0.000809388911371914	0.00161877782274383	0	0	0	0.000693761924033069	0.00242816673411574	0	0	0	0.00156096432907441	0	0	0	0.00150315083540498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241660403538186	0	0	0	0	0	0	0	0	0	0	0.000520321443024802	0	0	0	0.00271723420246285	0.00127189686072729	0	0	0	0	0	0	0	0	0	0.00352662311383477	0	0	0	0	0	0	0	0	0	0.000578134936694224	0	0	0.000635948430363647	0	0
C0104-W001NS01	0.0536168050143995	0.0646281551753346	0.023547348805692	0.0026257834999153	0.00830086396747417	0	0	0.00160935117736744	0	0	0.0113501609351177	0	0.00940199898356768	0.00321870235473488	0	0.00719972895138065	0	0	0.00389632390310012	0	0.00127054040318482	0.0105878366932068	0	0.00533626969337625	0.00423513467728274	0	0.00203286464509571	0.0897001524648484	0	0.00372691851600881	0.00245637811282399	0.00287989158055226	0	0	0	0.00304929696764357	0	0	0	0	0	0	0.00287989158055226	0.0105878366932068	0.00143994579027613	0	0	0.00143994579027613	0	0.00127054040318482	0	0	0.000592918854819583	0	0.00762324241910893	0	0	0	0.404031848212773	0	0	0	0.000592918854819583	0	0	0	0	0	0	0	0	0.000931729629002202	0.174402846010503	0	0	0.00304929696764357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000931729629002202	0	0	0	0	0	0	0	0	0.000508216161273928	0	0	0	0	0.000508216161273928	0.000677621548365238	0	0	0	0	0.000677621548365238	0	0	0	0	0	0.00203286464509571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220227003218702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0105-P001NS01	0.0430279634685999	0.043122116561529	0.79540532906506	0	0	0	0	0.0229733546747011	0	0.00724978815554091	0.0109217587797759	0	0.00583749176160437	0	0	0	0	0	0.00461350155352603	0.0033895113454477	0.00414273608888052	0.00367197062423501	0	0.00178890876565295	0.00517842011110065	0	0.00169475567272385	0	0	0.00254213350908577	0	0	0.000753224743432822	0	0	0	0	0.00866208454947745	0	0	0	0	0	0	0	0	0.00273043969494398	0	0	0.00178890876565295	0	0	0.000847377836361924	0	0	0	0	0	0	0	0.00197721495151116	0.000941530929291027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225967423029847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134638922888617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0105-W001NS01	0.0110815853451688	0.185955786736021	0.0129473624696104	0.0040707864533273	0	0	0	0.0586306326680613	0.423870639452705	0.156103352744954	0.00689772149036015	0	0.015830836207384	0.00107423531407248	0	0	0	0	0.0129473624696104	0.00616271838073161	0.00282693503703285	0.00491886696443716	0	0.00412732515406796	0.0011873127155538	0.00231808673036694	0.00305308983999548	0.000735003109628541	0	0.00842426641035789	0	0	0.00107423531407248	0	0.000678464408887884	0.00169616102221971	0	0	0	0	0	0	0.00197885452592299	0	0.000621925708147227	0	0	0.00163962232147905	0	0.00305308983999548	0	0	0.00113077401481314	0	0.000735003109628541	0	0	0	0	0	0.00361847684740205	0	0	0.000508848306665913	0	0	0	0	0.000791541810369198	0.000904619211850512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056538700740657	0	0	0.000735003109628541	0	0	0.00712387629332278	0	0.000904619211850512	0	0.000508848306665913	0	0	0	0	0	0	0.00113077401481314	0	0	0.00169616102221971	0	0	0	0	0	0.00141346751851642	0	0	0.00113077401481314	0	0	0	0	0	0	0.013512749477017	0	0	0	0	0	0	0.000621925708147227	0	0	0	0	0.000508848306665913	0	0	0	0.000848080511109855	0	0	0	0	0	0	0	0	0.00113077401481314	0	0	0	0	0	0	0	0	0.000621925708147227	0	0	0	0	0	0
C0106-F001NS01	0.0115092859011248	0	0.00653936698927544	0	0.0253727439183887	0	0.178917080826576	0.00457755689249281	0	0	0.00313889615485221	0	0	0	0.0946900340047084	0	0.0878890923358619	0	0	0	0	0.0156944807742611	0	0.000784724038713053	0.00235417211613916	0.00287732147528119	0	0	0	0	0.00876275176562909	0.00510070625163484	0	0	0.0030081088150667	0	0	0	0	0	0	0.365681402040282	0	0	0	0	0	0	0.00261574679571018	0	0	0.00850117708605807	0	0	0	0.00653936698927544	0	0	0	0	0	0	0.00156944807742611	0	0	0.00941668846455663	0	0	0	0	0	0.00614700496991891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00405440753335077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000523149359142035	0	0	0	0	0	0	0	0	0	0	0.000784724038713053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0106-P001NS01	0.0227154046997389	0.00926892950391645	0.0298955613577024	0.00130548302872063	0.0066579634464752	0	0.131070496083551	0.000913838120104439	0	0.00234986945169713	0.00613577023498695	0	0.0519582245430809	0.00639686684073107	0.0097911227154047	0.00221932114882507	0.0147519582245431	0	0.0233681462140992	0.106005221932115	0.00261096605744125	0.0112271540469974	0	0.00600522193211488	0.00182767624020888	0.0010443864229765	0	0	0.0451697127937337	0.0147519582245431	0	0.00744125326370757	0	0	0.0155352480417755	0.0107049608355091	0	0	0.00992167101827676	0.0114882506527415	0.0169712793733681	0	0.0357702349869452	0.00143603133159269	0.00509138381201044	0	0	0	0	0.00456919060052219	0	0.00443864229765013	0	0	0.00639686684073107	0	0.00887728459530026	0	0	0.0108355091383812	0	0.0107049608355091	0.00130548302872063	0	0.00195822454308094	0	0	0	0	0.0097911227154047	0	0.00339425587467363	0.00248041775456919	0	0	0.0010443864229765	0.0122715404699739	0.00574412532637076	0	0	0.00561357702349869	0	0	0.00339425587467363	0	0.0116187989556136	0	0	0.00221932114882507	0	0.00430809399477807	0.00352480417754569	0.00169712793733681	0	0.000783289817232376	0.00992167101827676	0.00221932114882507	0.00443864229765013	0.00326370757180157	0.00456919060052219	0	0.00574412532637076	0.00143603133159269	0.00822454308093995	0.0113577023498695	0	0	0.0118798955613577	0.00483028720626632	0	0.0010443864229765	0.0330287206266319	0.00195822454308094	0.0117493472584856	0.000652741514360313	0	0.0184073107049608	0.00744125326370757	0.00926892950391645	0	0	0	0.00169712793733681	0.002088772845953	0.00287206266318538	0.00326370757180157	0.00143603133159269	0	0	0	0.00287206266318538	0	0	0	0.00117493472584856	0.00300261096605744	0.00378590078328982	0	0	0.00339425587467363	0.000913838120104439	0	0	0.002088772845953	0.00326370757180157	0.00261096605744125	0.00339425587467363	0	0	0	0	0.00678851174934726	0	0	0	0	0.00234986945169713	0	0	0	0	0	0.000522193211488251	0.000783289817232376
C0106-S001NS01	0.0261216963736939	0	0.0136754763368162	0	0.0044560540872772	0	0.13460356484327	0	0	0.00384142593730793	0.00138291333743085	0	0.053779963122311	0.00307314074984634	0.00860479409956976	0	0.0276582667486171	0	0.0164413030116779	0.0994161032575292	0	0.00307314074984634	0	0.0110633066994468	0	0	0	0	0	0.0270436385986478	0	0	0	0	0.0145974185617701	0.00860479409956976	0	0	0.0268899815611555	0.0321143208358943	0.0307314074984634	0	0.0318070067609096	0.00138291333743085	0.00860479409956976	0	0	0	0.000768285187461586	0	0	0	0.000921942224953903	0	0.000614628149969269	0	0	0	0	0.0454824830977259	0	0.0152120467117394	0.000921942224953903	0	0	0	0.00184388444990781	0	0.00169022741241549	0.0190534726490473	0	0	0	0	0	0.00169022741241549	0.00307314074984634	0.00322679778733866	0	0.00384142593730793	0.00476336816226183	0.00199754148740012	0	0.00522433927473878	0	0.0169022741241549	0	0	0.00245851259987707	0	0	0.00245851259987707	0	0	0	0.0141364474492932	0	0.00752919483712354	0	0.00829748002458513	0	0.0421020282728949	0	0.00261216963736939	0.00368776889981561	0	0	0.0195144437615243	0.00184388444990781	0	0.00230485556238476	0.00968039336201598	0	0.0118315918869084	0	0	0.00799016594960049	0	0.0122925629993854	0	0	0	0	0	0.00414874001229256	0	0.00215119852489244	0.00522433927473878	0	0	0	0	0	0	0.00184388444990781	0.00430239704978488	0.00460971112476951	0	0	0.00245851259987707	0.00261216963736939	0.00829748002458513	0	0.00230485556238476	0.00875845113706208	0.00291948371235403	0.00245851259987707	0.00153657037492317	0	0	0	0.00338045482483098	0	0.00122925629993854	0	0	0	0	0.00276582667486171	0	0	0	0	0.00215119852489244
